IATA_CODE,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,LOAD_TIMESTAMP,AIRPORT_SIZE_CATEGORY,REGION,CONTINENT_GROUP,LOCATION_VALIDATION,RECORD_YEAR
IAG,Niagara Falls,NY,USA,43.10726,-78.94538,2025-11-26 03:35:24.903 -0800,MEDIUM,NORTHEAST,NORTH_AMERICA,VALID,2025
IAH,Houston,TX,USA,29.98047,-95.33972,2025-11-26 03:35:24.903 -0800,MEDIUM,SOUTH,NORTH_AMERICA,VALID,2025
ICT,Wichita,KS,USA,37.64996,-97.43305,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
IDA,Idaho Falls,ID,USA,43.51456,-112.07017,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
ILG,Wilmington,DE,USA,39.67872,-75.60653,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
ILM,Wilmington,NC,USA,34.27061,-77.90256,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
IMT,Iron Mountain/Kingsford,MI,USA,45.81835,-88.11454,2025-11-26 03:35:24.903 -0800,REGIONAL,MIDWEST,NORTH_AMERICA,VALID,2025
IND,Indianapolis,IN,USA,39.71733,-86.29438,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
INL,International Falls,MN,USA,48.56619,-93.40307,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
ISN,Williston,ND,USA,48.17794,-103.64235,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
ISP,Islip,NY,USA,40.79524,-73.10021,2025-11-26 03:35:24.903 -0800,MEDIUM,NORTHEAST,NORTH_AMERICA,VALID,2025
