DATE_SK,AIRLINE_SK,ORIGIN_AIRPORT_SK,DESTINATION_AIRPORT_SK,DEPARTURE_DELAY,ARRIVAL_DELAY,TOTAL_DELAY,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,DISTANCE,CANCELLED,DIVERTED,ON_TIME_FLAG,LOAD_TIMESTAMP,FLIGHT_DATE
7eb78036004e735c5fd01175d35ece0a,e48bf9dad3f5d442f9d14d931be6f43e,b8fcc69d250d3ed23c05e0105ea381db,4b6544406098f683478fca26b2589e6d,-2,-4,-6,0.00000,0.00000,0.00000,0.00000,0.00000,257,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,e48bf9dad3f5d442f9d14d931be6f43e,87e91eda4dde85cbde3a3aac504e7676,16398053b0ee1ac75460202a32bee818,,,,0.00000,0.00000,0.00000,0.00000,0.00000,429,1,0,0,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,7516fd43adaa5e0b8a65a672c39845d2,9abd3d9b983e99aa1fd94837498b0bea,1375575710990aaefeb0228d672c5521,-5,-2,-7,0.00000,0.00000,0.00000,0.00000,0.00000,1107,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,3b98e2dffc6cb06a89dcb0d5c60a0206,af4e41ea70cda97b3e606647516dd6db,637d536065e18d89c0f1c21fce509ce1,108,102,210,0.00000,0.00000,0.00000,0.00000,102.00000,1121,0,0,0,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,3b98e2dffc6cb06a89dcb0d5c60a0206,e938c5bbd29de26c3a600a0330465f8b,637d536065e18d89c0f1c21fce509ce1,-5,2,-3,0.00000,0.00000,0.00000,0.00000,0.00000,1258,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,834d41112f2943c357f660165b6eb6de,57a17c0041e20ef5edd94dec9b9eec73,16398053b0ee1ac75460202a32bee818,2,13,15,0.00000,0.00000,0.00000,0.00000,0.00000,984,0,0,0,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,7516fd43adaa5e0b8a65a672c39845d2,08a601c7e8befa1393c348508a878db1,1375575710990aaefeb0228d672c5521,60,60,120,0.00000,0.00000,60.00000,0.00000,0.00000,1009,0,0,0,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,3b98e2dffc6cb06a89dcb0d5c60a0206,16398053b0ee1ac75460202a32bee818,637d536065e18d89c0f1c21fce509ce1,58,54,112,0.00000,0.00000,54.00000,0.00000,0.00000,964,0,0,0,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,f5ce9f5cb682a1f863d5a8c51ac28683,dd3eb9957f43759b85cc6d50ea901967,d1bef49a8aa9f8053c8458cb9965f220,-9,-6,-15,0.00000,0.00000,0.00000,0.00000,0.00000,456,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,834d41112f2943c357f660165b6eb6de,27f959641950d381869d746d7d0e7d4e,16398053b0ee1ac75460202a32bee818,-3,-5,-8,0.00000,0.00000,0.00000,0.00000,0.00000,308,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,834d41112f2943c357f660165b6eb6de,,c25c66f8ac4fc39070aaa75c4c58c91a,-6,-15,-21,0.00000,0.00000,0.00000,0.00000,0.00000,250,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,e48bf9dad3f5d442f9d14d931be6f43e,9b1ce44420fde8fc82f643a1fb33dcb0,f3b69be0f57a9519705082d49cc75ed6,5,3,8,0.00000,0.00000,0.00000,0.00000,0.00000,522,0,0,0,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,e48bf9dad3f5d442f9d14d931be6f43e,b0fc8a23b99abd47779c675029a42775,4b6544406098f683478fca26b2589e6d,-3,9,6,0.00000,0.00000,0.00000,0.00000,0.00000,199,0,0,0,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,594c16ca0695f6665d7cf4971707adf6,a5bc417468d5c8c378672f6bdd2e0c90,efe57e3098b01272e92ab041ad05a559,-10,-12,-22,0.00000,0.00000,0.00000,0.00000,0.00000,102,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,834d41112f2943c357f660165b6eb6de,dd3eb9957f43759b85cc6d50ea901967,c25c66f8ac4fc39070aaa75c4c58c91a,0,5,5,0.00000,0.00000,0.00000,0.00000,0.00000,214,0,0,0,2025-11-27 05:45:15.100 -0800,2015-01-01
